,Chemical,Company,Room,Shelf,Amount of Jars/Containers,Amount,Unit,CAS #s,Hazard
,Triethanolamine,Scholar Chemistry,412D,16,2,200.0,mL,,
,Triethanolamine,Glass bottle,412D,16,9,450.0,mL,,
,Bromophenol Blue,Fisher Scientific,412D,17,2,7.0,g,115-39-9,
,Bromothymol Blue,Carolina,412D,17,1,2.0,g,34722-90-2,
,Carmine,Flinn Scientific,412D,17,2,0.5,g,1390-65-4,
,Congo Red,Ward's Science,412D,17,1,1.0,g,573-58-0,"May cause cancer, suspected of damaging the unborn child"
,Congo Red,Sargent Welch,412D,17,1,0.05,g,573-58-0,"May cause cancer, suspected of damaging the unborn child"
,Eosin B,Fisher Scientific,412D,17,1,10.0,g,548-24-3,Causes serious eye damage
,Fast Green FCF,Eastman,412D,17,1,20.0,g,2353-45-9,Suspected of causing genetic defects (if exposed)
,Litmus,Flinn Scientific,412D,17,1,10.0,g,1393-92-6,
,Litmus,Ward's Science,412D,17,1,10.0,g,1393-92-6,
,Methylene Blue,Fisher Scientific,412D,17,1,3.0,g,61-73-4,Harmful if swallowed
,Methyl Violet,Sargent Welch,412D,17,1,5.0,g,8004-87-3,"Harmful if swallowed, suspected of causing cancer, very toxic to aquatic life with long lasting effects"
,Methyl Violet,Fisher Science,412D,17,1,7.0,g,8004-87-3,"Harmful if swallowed, suspected of causing cancer, very toxic to aquatic life with long lasting effects"
,Phenol Red,Fisher Scientific,412D,17,1,2.5,g,143-74-8,"Causes skin irritation, may cause respiratory irritation"
,"Thymol Blue, ACS",Alfa Aesar,412D,17,1,40.0,g,76-61-9,May form combustible dust concentrations in the air
,"Thymol Blue, Sodium Salt",Fisher Science,412D,17,1,3.0,g,62625-21-2,May form combustible dust concentrations in the air
,FDC Blue 1 Food Dye,Flinn Scientific,412D,17,1,0.5,g,3844-45-9,
,FDC Blue 2 Food Dye,Flinn Scientific,412D,17,1,2.0,g,860-22-0,Acute oral toxicity
,FD&C Blue #1,Spectrum,412D,17,1,100.0,g,3844-45-9,
,FD&C Blue #2,Spectrum,412D,17,1,30.0,g,860-22-0,Acute oral toxicity
,FDC Red 3 Food Dye,Flinn Scientific,412D,17,1,0.5,g,16423-68-0,Acute oral toxicity
,FDC Red 40 Food Dye,Flinn Scientific,412D,17,1,2.0,g,25956-17-6,
,FD&C Red #3,Spectrum,412D,17,1,25.0,g,16423-68-0,Acute oral toxicity
,FD&C Green 3 Food Dye,Flinn Scientific,412D,17,1,2.0,g,2353-45-9,"Germ cell mutagenicity, suspected of causing genetic defects, acute oral toxicity"
,FD&C Green #3,Spectrum,412D,17,1,75.0,g,2353-45-9,"Germ cell mutagenicity, suspected of causing genetic defects, acute oral toxicity"
,FDC Yellow 5 Food Dye,Flinn Scientific,412D,17,1,0.5,g,1934-21-0,"Skin sensitization, respiratory sensitization"
,FDC Yellow 6 Food Dye,Flinn Scientific,412D,17,1,1.0,g,2783-94-0,"Skin and serious eye damage, corrosion, or irritation, specific target organ toxicity (single exposure: respiratory tract)"
,FD&C Yellow #5,Spectrum,412D,17,1,90.0,g,1934-21-0,"Respiratory sesnsitization, skin sensitization, combustible dust"
,4-Acetamidophenol,Aldrich,412D,Organics,1,70.0,g,103-90-2,Acute oral toxicity
,4-Acetamidophenol,Glass bottle,412D,Organics,2,5.0,g,103-90-2,Acute oral toxicity
,Acetamide,Glass bottle,412D,Organics,3,50.0,g,60-35-5,Suspect of causing cancer
,Acetanilide,Flinn Scientific,412D,Organics,1,30.0,g,103-84-4,"Acute oral toxicity, acute aquatic hazard"
,Acetanilide,Sigma Aldrich,412 D,Organics,1,500.0,g,103-84-4,"Acute oral toxicity, acute aquatic hazard"
,Acetanilide Reference,Glass bottle,412D,Organics,1,15.0,g,103-84-4,"Acute oral toxicity, acute aquatic hazard"
,Acrylamide,Sigma Aldrich,412D,Organics,1,25.0,g,79-06-1,"Acute oral, dermal, and inhalation toxicity, skin and eye irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity "
,Acrylamide,Glass bottle,412D,Organics,1,5.0,g,79-06-1,"Acute oral, dermal, and inhalation toxicity, skin and eye irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity "
,Anthracene,J.T. Baker,412D,Organics,1,30.0,g,120-12-7,"Eye irritation, acute and chronic aquatic hazard"
,Anthracene,Acros Organics,412D,Organics,1,20.0,g,120-12-7,"Eye irritation, acute and chronic aquatic hazard"
,Anthracene,Glass bottle,412D,Organics,1,10.0,g,120-12-7,"Eye irritation, acute and chronic aquatic hazard"
,Aspirin Powder,J.T. Baker,412D,Organics,1,75.0,g,50-78-2,Acute toxicity (oral)
,Aspirin Powder,Glass bottle,412D,Organics,1,5.0,g,50-78-2,Acute toxicity (oral)
,Impure Aspirin,Glass bottle,412D,Organics,1,15.0,g,50-78-2,Acute toxicity (oral)
,Aurintricarboxylic Acid,Sargent Welch,412D,Organics,1,15.0,g,4431-00-9,Skin irritant
,Benzopinacolone,Alfa Aesar,412D,Organics,3,30.0,g,466-37-5,
,Benzopinacol,Alfa Aesar,412D,Organics,1,10.0,g,464-72-2,
,Benzopinacol,Acros Organics,412D,Organics,1,80.0,g,464-72-2,
,Benzamide,Sigma Aldrich,412D,Organics,2,255.0,g,55-21-0,"Acute oral toxicity, germ cell mutagenicity"
,Benzophenone,Glass bottle,412D,Organics,1,5.0,g,119-61-9,"Carcinogen, specific target organ toxicity (repeated exposure: oral, liver, kidney), short- and long-term aquatic hazard"
,Biphenyl,Acros Organics,412D,Organics,1,100.0,g,92-52-4,"Skin and eye irritant, specific targen organ toxicity (single exposure: respiratory system), short- and long-term aquatic hazard"
,Biphenyl,Glass bottle,412D,Organics,1,5.0,g,92-52-4,"Skin and eye irritant, specific targen organ toxicity (single exposure: respiratory system), short- and long-term aquatic hazard"
,Caffeine,Scholar Chemistry,412D,Organics,1,40.0,g,58-08-2,"Acute oral toxicity, acute aquatic hazard"
,Caffeine,Glass bottle,412D,Organics,2,5.0,g,58-08-2,"Acute oral toxicity, acute aquatic hazard"
,Catechol,Sigma,412D,Organics,1,20.0,g,120-80-9,"Acute oral, dermal, and inhalation toxicity, skin corrosion/irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, combustible dust"
,Cetyl Alcohol,Glass bottle,412D,Organics,1,100.0,g,36653-82-4,
,Coumarin,MP Biomedicals,412D,Organics,1,20.0,g,91-64-5,"Acute oral toxicity, skin sensitization, chronic aquatic hazard"
,Coumarin,Glass bottle,412D,Organics,1,5.0,g,91-64-5,"Acute oral toxicity, skin sensitization, chronic aquatic hazard"
,"2,6 Dichloroindophenol, Sodium Salt",Flinn Scientific,412D,Organics,1,2.0,g,620-45-1,Combustible dust
,"Diphenylamine, crystal",J.T. Baker,412D,Organics,1,500.0,g,122-39-4,"Acute oral, inhalation, and dermal toxicity, specific target organ toxicity (repeated exposure: kidney, liver, spleen), short- and long-term aquatic hazard"
,"Diphenylamine, crystal",Glass bottle,412D,Organics,1,5.0,g,122-39-4,"Acute oral, inhalation, and dermal toxicity, specific target organ toxicity (repeated exposure: kidney, liver, spleen), short- and long-term aquatic hazard"
,"Diphenylamine-4-sulfonic acid, Sodium Salt",Aldrich,412D,Organics,1,5.0,g,6152-67-6,"Skin corrosion/irritation, serious eye damage/irritation, specific target organ toxicity (single exposure: respiratory system)"
,Ethylenediamine Tetraacetic Acid (EDTA),Flinn Scientific,412D,Organics,1,40.0,g,60-00-4,Causes serious eye irritation
,Ethylenediamine Tetraacetic Acid (EDTA),Glass bottle,412D,Organics,1,40.0,g,60-00-4,Causes serious eye irritation
,9-Fluorenol,Alfa Aesar,412D,Organics,1,20.0,g,1689-64-1,
,9-Fluorenone,Alfa Aesar,412D,Organics,1,50.0,g,486-25-9,Serious eye damage/eye irritation,
,Hydroquinone,J.T. Baker,412D,Organics,1,400.0,g,123-31-9,"Acute oral toxicity, serious eye damage, skin sensitization, germ cell mutagenicity, carcinogenicity, short- and long-term aquatic hazard"
,Hydroquinone,Glass bottle,412D,Organics,1,25.0,g,123-31-9,"Acute oral toxicity, serious eye damage, skin sensitization, germ cell mutagenicity, carcinogenicity, short- and long-term aquatic hazard"
,4-Hydroxylacetophenone,Sigma Aldrich,412D,Organics,1,100.0,g,99-93-4,"Eye irritant, short- and long-term aquatic hazard"
,Hydroxylamine Hydrochloride,Sigma Aldrich,412D,Organics,1,40.0,g,5470-111,"Corrosive to metals, acute oral and dermal toxicity, skin and eye irritation, skin sensitization, carcinogenicity, specific target organ toxicity (repeated exposure: oral, spleen), short- and long-term aquatic hazard"
,Phthalic anhydride,Aldrich,412D,Organics,1,800.0,g,85-44-9,"Acute oral toxicity, skin irritation, serious eye damage, respiratory sensitization, skin sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard"
,Phthalic anhydride,Glass bottle,412D,Organics,2,50.0,g,85-44-9,"Acute oral toxicity, skin irritation, serious eye damage, respiratory sensitization, skin sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard"
,1-Naphthol,Scholar Chemistry,412D,Organics,3,100.0,g,90-15-3,"Acute oral and dermal toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory system)"
,1-Naphthol,Glass bottle,412D,Organics,10,50.0,g,90-15-3,"Acute oral and dermal toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory system)"
,2-Naphthol,Aldrich,412D,Organics,1,5.0,g,135-19-3,"Acute oral and inhalation toxicity, serious eye damage, skin sensitization, acute aquatic hazard"
,Naphthalene,Glass bottle,412D,Organics,4,20.0,g,90-20-3,"Flammable solids, acute oral toxicity, carcinogenicity, short- and long-term aquatic hazard"
,2-Nitrophenol,Acros Organics,412D,Organics,1,25.0,g,88-75-5,"Acute oral toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory tract)"
,2-Nitrophenol,Glass bottle,412D,Organics,2,25.0,g,88-75-5,"Acute oral toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory tract)"
,Salicylamide,Alfa Aesar,412D,Organics,1,125.0,g,65-45-2,"Acute oral toxicity, skin and eye irritation, specific target organ toxicity (single exposure: respiratory system)"
,Sulfuryl Chloride,Sigma-Aldrich,412D,Organics,1,25.0,ml,7791-25-5,"Acute inhalation toxicity, skin corrosion, serious eye damage, specific target organ toxicity (single exposure: respiratory system)"
,Trans-stilbene,Sigma-Aldrich,412D,Organics,1,20.0,g,103-30-0,"Acute oral toxicity, serious eye damage/eye irriation, chronic aquatic hazard"
,Tetraethylenepentamine,TCL,412D,Organics,1,25.0,g,112-57-2,"Harmful if swallowed or in contact with skin, causes severe skin burns and eye damage, may cause an allergic skin reaction, chronic aquatic hazard"
,p-Toluidine,Sigma-Aldrich,412D,Organics,1,125.0,g,106-49-0,"Acute oral, dermal, and inhalation toxicity, serious eye damage/eye irritation, skin sensitization, carcinogenicity"
,Trizmabase,Sigma,412D,Organics,1,500.0,g,77-86-1,
,Resorcinol,Scholar Chemistry,412D,Organics,2,100.0,g,108-46-3,"Acute oral toxicity, skin irritation, serious eye damage, skin sensitization, specific target organ toxicity (single exposure: oral, central nervous system, blood, respiratory system), short- and long-term aquatic hazard"
,Resorcinol,Glass bottle,412D,Organics,12,200.0,g,108-46-3,"Acute oral toxicity, skin irritation, serious eye damage, skin sensitization, specific target organ toxicity (single exposure: oral, central nervous system, blood, respiratory system), short- and long-term aquatic hazard"
,Urea,Ward's Science,412D,Organics,1,300.0,g,57-13-6,
,Urea,Sigma Aldrich,412D,Organics,1,100.0,g,57-13-6,
,Urea,Glass bottle,412D,Organics,2,10.0,g,57-13-6,
,Urethane,Sigma Aldrich,412D,Organics,1,75.0,g,51-79-6,"Acute oral toxicity, carcinogenicity"
,Vanillin,Glass bottle,412D,Organics,1,5.0,g,121-33-5,"Eye irritant, acute aquatic hazard"
,Acetylsalicylic Acid,Flinn Scientific,412D,Carboxylic Acids,1,100.0,g,50-78-2,Acute oral toxicity
,Acetylsalicylic Acid,Glass bottle,412D,Carboxylic Acids,3,3.0,g,50-78-2,Acute oral toxicity
,Acetanilide,Acros Organics,412D,Carboxylic Acids,1,200.0,g,103-84-4,"Acute oral toxicity, acute aquatic hazard"
,Acetoacetanilide,Aldrich,412D,Carboxylic Acids,1,300.0,g,102-01-2,
,4-Acetamidobenzenesulfonamide,TCL,412D,Carboxylic Acids,1,20.0,g,121-61-9,"Acute toxicity (oral, dermal, inhalation), skin and eye irritant, specific target organ toxicity (single exposure)"
,Benzophenone,Acros Organics,412D,Carboxylic Acids,1,300.0,g,119-61-9,"Carcinogen, specific target organ toxicity (repeated exposure: oral, liver, kidney), short- and long-term aquatic hazard"
,Benzoic Acid,Flinn Scientific,412D,Carboxylic Acids,2,400.0,g,65-85-0,"Skin irritant, serious eye damage, specific target organ toxicity (repeated exposure: inhalation, lungs), short-term aquatic hazard"
,Benzoic Acid,Glass bottle,412D,Carboxylic Acids,2,75.0,g,65-85-0,"Skin irritant, serious eye damage, specific target organ toxicity (repeated exposure: inhalation, lungs), short-term aquatic hazard"
,Citric Acid,Flinn Scientific,412D,Carboxylic Acids,2,500.0,g,77-92-9,"Eye irritant, specific target organ toxicity (single exposure: respiratory system)"
,Cinnamic Acid,Glass bottle,412D,Carboxylic Acids,1,15.0,g,140-10-3,"Eye irritant, short-term aquatic hazard"
,"1,5-Diphenylpenta 1,4-dien-one",HD Ark Pharm,412D,Carboxylic Acids,1,50.0,g,35225-79-7,"Specific target organ toxicity (single exposure: respiratory tract), skin corrosion/irritation, serious eye damage/irritation"
,Fumaric Acid,Acros Organic,412D,Carboxylic Acids,1,800.0,g,110-17-8,Eye irritant
,Glycolic Acid,Acros Organic,412D,Carboxylic Acids,1,25.0,g,79-14-1,"Acute toxicity (inhilation), skin corrosion, serious eye damage, acute aquatic hazard"
,Lauric Acid,Flinn Scientific,412D,Carboxylic Acids,1,100.0,g,143-07-7,"Causes serious eye damage, toxic to aquatic life"
,Lauric Acid,Glass bottle,412D,Carboxylic Acids,1,50.0,g,143-07-7,"Causes serious eye damage, toxic to aquatic life"
,Maleic Acid,Scholar Chemistry,412D,Carboxylic Acids,1,100.0,g,110-16-7,"Acute oral and dermal toxicity, skin corrosion, serious eye damage, skin sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard"
,Maleic Acid,Glass bottle,412D,Carboxylic Acids,1,20.0,g,110-16-7,"Acute oral toxicity, skin corrosion, serious eye damage, respiratory sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard"
,Maleic Anhydride Pellets,Acros Organic,412D,Carboxylic Acids,1,10.0,g,108-31-6,"Acute oral and dermal toxicity, skin corrosion, serious eye damage, skin sensitization, specific target organ toxicity (repeated exposure: inhalation, respiratory system), acute aquatic hazard"
,DL-Mandelic Acid,Acros Organic,412D,Carboxylic Acids,1,40.0,g,90-64-2,Serious eye damage
,Oxalic Acid,Scholar Chemistry,412D,Carboxylic Acids,1,100.0,g,144-62-7,"Acute oral and dermal toxicity, serious eye damage, acute aquatic hazard"
,Phthalic Acid,Baker,412D,Carboxylic Acids,1,100.0,g,88-99-3,Causes serious eye damage
,Salicylic Acid,Flinn Scientific,412D,Carboxylic Acids,1,350.0,g,69-72-7,"Acute oral toxicity, serious eye damage, reproductive toxicity"
,Salicylic Acid,Glass bottle,412D,Carboxylic Acids,2,50.0,g,69-72-7,"Acute oral toxicity, serious eye damage, reproductive toxicity"
,Sebacic Acid,Aldrich,412D,Carboxylic Acids,1,220.0,g,111-206,
,Stearic Acid,Glass bottle,412D,Carboxylic Acids,8,300.0,g,57-11-4,Irritant
,Stearic Acid,Flinn Scientific,412D,Carboxylic Acids,1,250.0,g,57-11-4,Irritant
,Succinic Acid,Flinn Scientific,412D,Carboxylic Acids,1,100.0,g,110-15-6,Serious eye damage
,Tannic Acid,Scholar Chemistry,412D,Carboxylic Acids,1,100.0,g,1401-55-4,
,Tannic Acid,Glass bottle,412D,Carboxylic Acids,1,50.0,g,1401-55-4,
,p-Toluic Acid,Aldrich,412D,Carboxylic Acids,1,60.0,g,99-94-5,"Skin sensitization, acute aquatic hazard"
,"Rhodizonic Acid, Disodium Salt",Acros Organic,412D,Carboxylic Acids,1,20.0,g,523-21-7,
,Allyl Bromide,Sigma Aldrich,412D,Fridge,2,200.0,g,106-95-6,"Flammable, acute oral and inhalation toxicity, skin corrosion, serious eye damage, germ cell mutagenicity, carcinocenicity, acute aquatic hazard"
