,Chemical,Company,Room,Shelf,Amount of Jars/Containers,Amount,Unit,CAS #s,Hazard
,Coumarin,Glass bottle,412D,Organics,1,5.0,g,91-64-5,Acute oral toxicity, skin sensitization, chronic aquatic hazard,
,course sand ,plastic bottles ,534,C-2,2,2.0,g,n/a ,,
,Crotyl Chloride,TCI,412,412C,1,25.0,ml,591-97-9,Flammable,
,crystal violet ,plastic bottle ,534,lab benches,6,1.0,g,548-62-9,toxic, irritant, carcinogenetic,
X,crystallized free base ,fisher ,534,cb-0,1,5.0,kg,77-86-1,nonhazardous,
,Cuperic Chloride Dihydrate,Carolina,412D,8,1,300.0,g,10125-13-0,Acute oral and dermal toxicity, causes skin irritation, serious eye damage, short- and long-term aquatic hazard,
,Cyclohexane,Fisher Scientific,412,412C,1,500.0,ml,110-82-7,Flammable,
,Cyclohexane,Glass jar,412,412C,3,1.0,g,110-82-7,Flammable,
,Cyclohexanol,Sigma-Aldrich,412,412C,1,1.0,L,108-93-0,Flammable,
,Cyclohexanol,Droplet bottle,412,412C,2,1.0,g,108-93-0,Flammable,
,Cyclohexanol,Glass jar,412,412C,1,1.0,g,108-93-0,Flammable,
,Cyclohexanone,Sigma-Aldrich,412,412C,1,1.0,L,108-94-1,Flammable,
,Cyclohexanone,Glass jar,412,412C,2,1.0,g,108-94-1,Flammable,
,Cyclohexene,Sigma-Aldrich,412,412C,1,1.0,L,110-83-8,Flammable,
,Cyclohexene,Glass jar,412,412C,1,1.0,g,110-83-8 ,Flammable,
,D(+)Maltose,Scholar Chemistry,412D,2,1,250.0,g,6363-53-7,,
,D(-)-Aspartic Acid, D(-)-Asparaginsaure,Acros Organics,412D,16,1.0,g,g,1783-96-6,,
X,d-(+)-glucose ,sigma aldrich ,534,C1,1,1.0,kg,50-99-7,nonhazardous,
X,d-(-)-arabinose ,sigma aldrich ,534,cd-1,2,125.0,g,28697-53-2,nonhazardous,
,D-Fructose,Fisher Science Education,412D,2,2,500.0,g,57-48-7,Skin irritant,
,D-Fructose,Ward's Science,412D,2,2,400.0,g,57-48-7,Skin irritant,
,D-Glucose, anhydrous,Carolina,412D,2,3.0,g,g,50-99-7,,
,D-Glucose, anhydrous (packet),Carolina,412D,2,1.0,g,g,50-99-7,,
,decolorizing solution ,plastic bottle ,534,lab benches,5,1.0,g,plastic bottle,health, carcinogenetic,
X,decolorizing solution ,becton dickinson ,534,DB2,2,1.0,g,glass jar,Flammable, Irritant,
,Dehydrated Agar Powder,Fisher Scientific,412D,2,1,250.0,g,9002-18-0,Harmful if ingested/hygroscopic,
,Dehydrated Agar Powder,Cynmar Corporation,412D,2,1,250.0,g,9002-18-0,Harmful if ingested/hygroscopic,
,Developing Solvent Mixture,AMEP,412,412C,6,1.0,oz,540-84-1; 67-64-1,Flammable,
X,dextran ,fluka ,534,cd-3,1,500.0,mg,9004-54-0,nonhazardous,
,Dichloromethane,Macron Fine Chemicals,412,412C,1,500.0,ml,75-09-2,Flammable,
X,difco mueller hinton agar ,becton dickinson ,534,C1,1,400.0,g,,nonhazardous,
,Dilweed Oil,Sigma-Aldrich,412,412C,1,10.0,ml,8006-75-5,Flammable,
,Dimethyl Sulfoxide,Fisher Chemical,412,412C,1,500.0,ml,67-68-5,Flammable,
,Diphenylamine crystal,J.T. Baker,412D,Organics,1,500.0,g,122-39-4,Acute oral, inhalation, and dermal toxicity, specific target organ toxicity (repeated exposure: kidney, liver, spleen), short- and long-term aquatic hazard,
,Diphenylamine crystal,Glass bottle,412D,Organics,1,5.0,g,122-39-4,Acute oral, inhalation, and dermal toxicity, specific target organ toxicity (repeated exposure: kidney, liver, spleen), short- and long-term aquatic hazard,
,Diphenylamine-4-sulfonic acid Sodium Salt,Aldrich,412D,Organics,1,5.0,g,6152-67-6,Skin corrosion/irritation, serious eye damage/irritation, specific target organ toxicity (single exposure: respiratory system),
,distilled white vinegar,glass bottle ,534,C-2,1,200.0,g,n/a ,irritant,,
,DL-Alanine,Acros Organics,412D,16,1,50.0,g,302-72-7,,
,DL-Leucine,Acros Organics,412D,16,1,10.0,g,328-39-2,,
,DL-Mandelic Acid,Acros Organic,412D,Carboxylic Acids,1,40.0,g,90-64-2,Serious eye damage,
,DL-Phenylalanine,Acros Organics,412D,16,1,10.0,g,150-30-1,Not classified,
,DL-Valine,Acros Organics,412D,16,1,25.0,g,203784-63-8,,
,DNA extraction buffer ,glass bottle,534,cb-0,1,1200.0,ml,n/a ,,
,DNA extraction buffer ,glass bottle ,534,fridge 4,2,1.0,g,glass bottle,nonhazardous,
X,DNA suspension ,Carolina ,534,fridge 2,1,160.0,g,n/a ,nonhazardous,
X,Dnase test agar ,becton dickinson ,534,C1,1,500.0,g,,irritant,
X,edta ,scholar ,534,cd-3,1,20.0,g,60-00-4,health, flammable,
X,edta free acid ,american bioanalytical ,534,cd-3,1,1.0,kg,60-00-4,health, flammable,
X,electrophoresis buffer 50x concentrate ,edvotek ,534,fridge 1,7,150.0,ml,n/a ,irritant,
X,electrophoresis grade: sodium dodecyl sulfate ,fisher ,534,cg-1,1,100.0,g,151-21-3,irritant, acute tox,
X,ELISA immuno explore kit ,biorad ,534,fridge 2,1,1.0,g,,nonhazardous,
,ELISA simulation kit ,Carolina ,534,fridge 2,1,1.0,g,,,
,Eosin B,Fisher Scientific,412D,17,1,10.0,g,548-24-3,Causes serious eye damage,
,Epsom salt ,SunMark ,534,C-2,2,2.0,lb,10034-99-8,irritant,
,ethanol,glass bottle ,534,fridge 3,1,100.0,ml,64-17-5,health, flammable,
,Ethanol (70%),Carolina,412,412C,1,30.0,ml,64-17-5,Flammable,
,Ethanol (95%),Glass jar,412,412C,2,1.0,g,64-17-5,Flammable,
,Ethanol (95%),Droplet bottle,412,412C,10,1.0,g,64-17-5,Flammable,
,Ethanol (95%),Droplet bottle,412,412C,4,1.0,g,64-17-5,Flammable,
,Ethanol 200 Proof,Decon Laboratories,412,412C,2,2.0,g,64-17-5,Flammable,
,Ethyl Acetate,Fisher Chemical,412,412C,1,500.0,ml,141-78-6,Flammable,
,Ethyl Acetate Petroleum Ether 1:2 Solution,Carolina,412,412C,6,120.0,g,141-78-6; 8032-32-4,Flammable,
,Ethyl Alcohol 100%,Glass jar,412,412C,1,1.0,g,64-17-5,Flammable,
,Ethyl Alcohol 200 Proof,EMD Millipore Corporation,412,412C,1,4.0,L,64-17-5,Flammable,
,Ethyl Alcohol 80%,Glass jar,412,412C,2,1.0,g,64-17-5,Flammable,
,Ethyl Alcohol 95%,Ward's Science,412,412C,3,500.0,ml,64-17-5,Flammable,
X,ethyl alcohol anhydrous ,fisher ,534,BA2,1,1.0,L,67-63-0,Flammable, toxic,
,Ethyl Bromide in Ethanol (0.4 M),Glass jar,412,412C,1,1.0,g,74-96-4,Flammable,
,Ethylene Glycol,Droplet bottle,412,412C,2,1.0,g,107-21-0,Flammable,
,Ethylene Glycol,ScholAR Chemistry,412,412C,1,3.8,L,107-21-0,Flammable,
,Ethylene Glycol,Glass jar,412,412C,1,1.0,g,107-21-0,Flammable,
,Ethylene glycol diethyl ether,Sigma-Aldrich,412,412C,1,100.0,ml,629-14-1,Flammable,
,Ethylenediamine Tetraacetic Acid (EDTA),Flinn Scientific,412D,Organics,1,40.0,g,60-00-4,Causes serious eye irritation,
,Ethylenediamine Tetraacetic Acid (EDTA),Glass bottle,412D,Organics,1,40.0,g,60-00-4,Causes serious eye irritation,
,extra virgin olive oil ,clavita,534,C-2,1,1.0,g,,,
X,fast blast DNA stain ,biorad,534,cs-3-2,1,100.0,ml,,nonhazardous,
X,fast blast DNA stain 500x,biorad ,534,cs-3-2,1,100.0,g,,nonhazardous,
,Fast Green FCF,Eastman,412D,17,1,20.0,g,2353-45-9,Suspected of causing genetic defects (if exposed),
,FD&C Blue #1,Spectrum,412D,17,1,100.0,g,3844-45-9,,
,FD&C Blue #2,Spectrum,412D,17,1,30.0,g,860-22-0,Acute oral toxicity,
,FD&C Green #3,Spectrum,412D,17,1,75.0,g,2353-45-9,Germ cell mutagenicity, suspected of causing genetic defects, acute oral toxicity,
,FD&C Green 3 Food Dye,Flinn Scientific,412D,17,1,2.0,g,2353-45-9,Germ cell mutagenicity, suspected of causing genetic defects, acute oral toxicity,
,FD&C Red #3,Spectrum,412D,17,1,25.0,g,16423-68-0,Acute oral toxicity,
,FD&C Yellow #5,Spectrum,412D,17,1,90.0,g,1934-21-0,Respiratory sesnsitization, skin sensitization, combustible dust,
,FDC Blue 1 Food Dye,Flinn Scientific,412D,17,1,0.5,g,3844-45-9,,
,FDC Blue 2 Food Dye,Flinn Scientific,412D,17,1,2.0,g,860-22-0,Acute oral toxicity,
,FDC Red 3 Food Dye,Flinn Scientific,412D,17,1,0.5,g,16423-68-0,Acute oral toxicity,
,FDC Red 40 Food Dye,Flinn Scientific,412D,17,1,2.0,g,25956-17-6,,
,FDC Yellow 5 Food Dye,Flinn Scientific,412D,17,1,0.5,g,1934-21-0,Skin sensitization, respiratory sensitization,
,FDC Yellow 6 Food Dye,Flinn Scientific,412D,17,1,1.0,g,2783-94-0,Skin and serious eye damage, corrosion, or irritation, specific target organ toxicity (single exposure: respiratory tract),
X,ferric chloride ,becton dickinson ,534,C-2,30,0.5,g,7705 08 0,health reactive,
X,ferric chloride anhydrous ,emd ,534,cg-2,1,500.0,g,7705-08-0,corrosive, health,
X,ferric chloride reagent droppers (unopened),becton dickinson ,534,C-2,2,100.0,g,7705 08 0,health reactive,
,Ferric Sulfate Hydrate,VWR Life Sciences,412D,7,1,500.0,g,15244-10-7,Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation,
X,fine sand ,wards,534,C-2,1,32.0,oz,14808-60-7,health,
X,fine sand ,sigma aldrich ,534,cb-0,1,5.0,kg,n/a ,health,
X,fluid thioglycolate medium ,becton dickinson ,534,C1,1,75.0,g,,nonhazardous,
,food coloring kit ,Durkee,534,C-2,1,1.0,g,n/a ,nonhazardous,
,Fumaric Acid,Acros Organic,412D,Carboxylic Acids,1,800.0,g,110-17-8,Eye irritant,
,Gelatin,Aldrich Chemical Company,412D,16,1,500.0,g,9000-70-8,,
,Glucose,Ward's Science,412D,2,1,1.5,kg,50-99-7,,
,glucose ,plastic bottle,534,C1,1,400.0,g,50-99-7,nonhazardous,
,Glycerine,Droplet bottle,412,412C,2,1.0,g,56-81-5,Flammable,
,Glycerol,Glass Bottle,412D,16,9,1100.0,mL,56-81-5,,
,Glycerol,Carolina,412,412C,2,500.0,ml,56-81-5,Flammable,
X,glycerol 99.5+%,sigma aldrich ,534,cd-3,1,100.0,g,56-81-5,nonhazardous,
,Glycine,Scholar Chemistry,412D,15,1,200.0,g,56-40-6,,
X,glycine ,sigma aldrich ,534,cd-1,1,1.0,g,56-40-6,nonhazardous,
,Glycolic Acid,Acros Organic,412D,Carboxylic Acids,1,25.0,g,79-14-1,Acute toxicity (inhilation), skin corrosion, serious eye damage, acute aquatic hazard,
,gram iodine ,plastic bottle ,534,lab benches,5,1.0,g,plastic bottle,aquatic toxin,
X,gram's iodine stain,wards,534,C-2,2,60.0,g,7553-56-2,corrosive, health, reactive,
,Guaiacol,Sigma Aldrich,412D,16,1,100.0,g,90-05-1,Flammable, acute oral toxicity, skin corrosion/irritation, serious eye damage/eye irritation,
,hampton beach sample,glass bottle ,534,fridge 4,1,1.0,g,,,
X,hemoglobin from bovine blood,sigma aldrich ,534,fridge 4,1,10.0,g,9008-02-0,non,
,Hexane,BDH ,412,412C,1,4.0,L,110-54-3,Flammable,
,Hexane-Ethyl Acetate,Glass jar,412,412C,1,1.0,g,141-78-6,Flammable,
,Hexane-isoPropanol (Chromatography Solvent),Glass jar,412,412C,2,1.0,g,67-64-1,Flammable,
X,hrp enzyme substrate,biorad,534,fridge 2,1,25.0,ml,77-92-9,nonhazardous,
X,hyclone cell culture water ,thermo,534,cs-3-2,1,50.0,ml,,nonhazardous,
,Hydogen Peroxide,Flinn Scientific,412D,13,1,200.0,mL,7722-84-1,Eyes, nose, skin, and throat irritation,
,Hydrogen Peroxide,Sigma Aldrich,412D,13,2,750.0,mL,7722-84-1,Eyes, nose, skin, and throat irritation,
,hydrogen peroxide 2-3%,dropper bottle ,534,lab benches,3,1.0,g,7722-84-1,oxidizer, corrosive, irritant,
,Hydroquinone,J.T. Baker,412D,Organics,1,400.0,g,123-31-9,Acute oral toxicity, serious eye damage, skin sensitization, germ cell mutagenicity, carcinogenicity, short- and long-term aquatic hazard,
,Hydroquinone,Glass bottle,412D,Organics,1,25.0,g,123-31-9,Acute oral toxicity, serious eye damage, skin sensitization, germ cell mutagenicity, carcinogenicity, short- and long-term aquatic hazard,
,Hydroxylamine Hydrochloride,Sigma Aldrich,412D,Organics,1,40.0,g,5470-111,Corrosive to metals, acute oral and dermal toxicity, skin and eye irritation, skin sensitization, carcinogenicity, specific target organ toxicity (repeated exposure: oral, spleen), short- and long-term aquatic hazard,
,immersion oil type A,dropper bottle ,534,lab benches,6,1.0,g,dropper bottle,irritant,
,Impure Aspirin,Glass bottle,412D,Organics,1,15.0,g,50-78-2,Acute toxicity (oral),
,India ink ,mass general hospital ,534,C-2,1,1.0,g,,nonhazardous,
,India ink ,bottles ,534,C-2,2,1.0,g,bottles,nonhazardous,
,India ink ,dropper bottle ,534,lab benches,1,1.0,g,1333-86-4,health,
,Indole,Alfa Aesar,412,412C,1,250.0,g,120-72-9,Flammable,
X,indole ,becton dickinson ,534,C-2,25,0.5,g,78-83-1;7647-01-0;100-10-7,flammable, toxic, corrosive,
X,indole reagent droppers (unopened),becton dickinson ,534,C-2,4,200.0,g,78-83-1;7647-01-0;100-10-7,flammable, toxic, corrosive,
,Iodine,Glass bottle,412D,12,6,200.0,g,7553-56-2,Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled,
,Iodine,Carolina,412D,12,1,100.0,g,7553-56-2,Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled,
,Iodine, crystalline,Flinn Scientific,412D,12,1.0,g,g,7553-56-2,Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled,
,Iodine,Beantown, California,412D,12,1.0,g,g,7553-56-2,Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled,
,Iodine (0.05 M),Carolina,412D,12,1,500.0,mL,7553-56-2,Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled,
,Iodine in Ethanol,Glass jar,412,412C,1,1.0,g,,Flammable,
,Iodine-Potassium Iodide,Carolina,412D,12,1,100.0,mL,,Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life,
,Iodine-potassium iodide,droppers ,534,C-2,1,1.0,g,droppers,health, aquatic toxin,
,Iodine-Potassium Iodide Solution,Flinn Scientific,412D,12,4,1900.0,mL,,Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life,
,Iron (II) Sulfide,Flinn Scientific Inc,412D,7,1,75.0,g,1317-37-9,,
,Iron (III) Chloride,Glass bottle,412D,8,1,20.0,g,7705-08-0,Corrosive to metals, acute oral toxicity, skin irritant, causes serious eye damage,
,Iron (III) Nitrate Nonahydrate,Sigma Aldrich,412D,10,1,500.0,g,7782-61-8,Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation,
,Iron (III) Oxide,Sigma-Aldrich,412D,6,1,50.0,g,1309-37-1,,
,Iron (III) Sulfate,Glass bottle,412D,7,1,75.0,g,15244-10-7,Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation,
,Iron (III) Sulfate Heptahydrate,Acros Organics,412D,7,1,350.0,g,10028-22-5,Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation,
,Iron (III) Sulfate Pentahydrate,Glass bottle,412D,7,1,300.0,g,142906-29-4,Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation,
,Isopropanol,Glass jar,412,412C,1,1.0,g,67-63-0,Flammable,
,Isopropyl Alcohol,Droplet bottle,412,412C,1,1.0,g,67-63-0,Flammable,
X,isopropyl alcohol,Hannaford,534,BA1,1,1.0,g,67-63-0,flammable, health hazard,
,L(+)-Ascorbic Acid,Wards Scientific,412D,16,1,1.0,g,50-81-7,,
X,l-(+)-arabinose min 99%,sigma-aldrich,534,cd-1,1,100.0,g,87-72-9,nonhazardous,
X,l-alanine,sigma aldrich ,534,cd-1,1,1.0,g,56-41-7,nonhazardous,
X,l-arginine,sigma-aldrich,534,cd-1,1,25.0,g,74-79-3,nonhazardous,
X,l-arginine hydrochloride,sigma aldrich ,534,cd-1,1,1.0,g,1119-34-2,nonhazardous,
X,l-asparagine ,sigma aldrich ,534,cd-1,1,1.0,g,70 47 3,nonhazardous,
X,l-aspartic acid,sigma-aldrich,534,cd-1,1,25.0,g,56-84-8,harmful if swallowed,
X,l-aspartic acid,sigma aldrich ,534,cd-1,1,1.0,g,56-84-8,harmful if swallowed,
X,l-cysteine,sigma aldrich ,534,cd-1,1,1.0,g,52-90-4,nonhazardous,
X,l-cysteine min 98%,sigma aldrich ,534,cd-1,1,25.0,g,52-90-4,nonhazardous,
X,l-cystine free base ,sigma Aldrich ,534,cd-1,1,1.0,g,52-90-4,nonhazardous,
X,l-glutamic acid ,sigma-aldrich ,534,cd-1,1,100.0,g,56-86-0,nonhazardous,
X,l-glutamic acid ,sigma Aldrich ,534,cd-1,1,1.0,g,56-86-0,nonhazardous,
X,l-histidine,sigma-aldrich ,534,cd-1,1,1.0,g,71-00-1,nonhazardous,
X,l-histidine ,sigma aldrich ,534,cd-1,1,25.0,g,71-00-1,nonhazardous,
X,l-isoleucine,sigma aldrich ,534,cd-1,1,1.0,g,73-32-5,nonhazardous,
X,l-leucine ,sigma aldrich ,534,cd-1,1,1.0,g,61-90-5,nonhazardous,
X,l-lysine ,sigma Aldrich ,534,cd-1,1,1.0,g,56-87-1,nonhazardous,
X,l-lysine ,sigma aldrich ,534,cd-1,3,3.0,g,56-87-1,nonhazardous,
X,l-methionine ,sigma Aldrich ,534,cd-1,1,1.0,g,68-63-3,nonhazardous,
X,l-phenylalanine,sigma Aldrich ,534,cd-1,1,1.0,g,63-91-2,nonhazardous,
X,l-proline ,sigma aldrich ,534,cd-1,1,1.0,g,147-85-3,nonhazardous,
X,l-serine ,sigma aldrich ,534,cd-1,1,1.0,g,56-45-1,nonhazardous,
X,l-threonine,sigma Aldrich ,534,cd-1,1,1.0,g,72-19-5,nonhazardous,
X,l-tryptophan,sigma aldrich ,534,cd-1,1,1.0,g,73-22-3,nonhazardous,
X,l-tryptophan,sigma aldrich ,534,cd-1,1,25.0,g,73-22-3,nonhazardous,
X,l-tyrosine ,sigma Aldrich ,534,cd-1,1,1.0,g,60-18-4,nonhazardous,
X,l-tyrosine ,sigma aldrich ,534,cd-1,1,25.0,g,60-18-4,irritant,
X,l-valine ,sigma aldrich ,534,cd-1,1,1.0,g,72-18-4,nonhazardous,
,Lactase Enzyme,Ward's Science,412D,2,1,0.1,g,9031-112,Skin, eye, respiratory irritant,
X,lactophenol cotton blue stain droppers,becton dickinson ,534,C-2,50,0.5,g,,health, corrosive, flammable,
X,lactophenol cotton blue stain droppers (unopened),becton dickinson ,534,C-2,1,50.0,g,,health, corrosive, flammable,
,Lactose,Flinn Scientific Inc,412D,2,2,500.0,g,63-42-3,,
,Lactose (packet),Carolina,412D,2,1,5.0,g,63-42-3,,
X,lactose monohydrate,Carolina ,534,cd-1,1,500.0,g,64044-51-5,flammable, reactive,
,Lactose Monohydrate (packet),Carolina,412D,2,2,10.0,g,63-42-3,,
,Lauric Acid,Flinn Scientific,412D,Carboxylic Acids,1,100.0,g,143-07-7,Causes serious eye damage, toxic to aquatic life,
,Lauric Acid,Glass bottle,412D,Carboxylic Acids,1,50.0,g,143-07-7,Causes serious eye damage, toxic to aquatic life,
X,lauryl sulfate ,sigma aldrich ,534,cg-1,1,0.2,kg,151-21-3,Flammable, Irritant, Aquatic toxin,
X,lb agar mueller  ,becton dickinson ,534,C1,2,1000.0,g,,irritant,
,Lead (II) Nitrate,Scholar Chemistry,412D,10,1,200.0,g,10099-74-8,Oxidizer, acute toxicity (inhalation, oral), serious eye damage, skin sensitization, carcinogenicity, reproductive toxicity, specific target organ toxicity (repeated exposure - blood, central nervous system, immune system, kidney), acture aquatic hazard,
,Lead (II) Nitrate,Alpha Azar,412D,10,1,100.0,g,10099-74-8,Oxidizer, acute toxicity (inhalation, oral), serious eye damage, skin sensitization, carcinogenicity, reproductive toxicity, specific target organ toxicity (repeated exposure - blood, central nervous system, immune system, kidney), acture aquatic hazard,
X,levine eosin methylene blue agar ,becton dickinson ,534,C1,1,500.0,g,,nonhazardous,
,Lime Water Tablets,Flinn Scientific,412D,16,1,10.0,g,,,
,Lithium Chloride Anhydrous,Carolina,412D,8,1,40.0,g,7447-41-8,Harmful if swallowed, cuases skin irritation, causes serious eye irritation,
,Litmus,Flinn Scientific,412D,17,1,10.0,g,1393-92-6,,
,Litmus,Ward's Science,412D,17,1,10.0,g,1393-92-6,,
,Lugol's Solution,Glass bottle,412D,12,1,50.0,mL,,Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life,
,Lugol's Solution,Carolina,412D,12,1,500.0,mL, ,Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life,
,Magnesium Chloride,Flinn Scientific Inc,412D,8,1,250.0,g,7786-30-3,,
,Magnesium Oxide Light Powder,Scholar Chemistry,412D,6,1,250.0,g,1309-48-4,,
,Magnesium Sulfate,Flinn Scientific Inc,412D,7,1,500.0,g,7487-88-9,,
X,magnesium sulfate anhydrous ,sigma aldrich ,534,cg-1,1,500.0,g,7487-88-9,nonhazardous,
X,magnesium sulfate anhydrous ,sigma aldrich ,534,cg-1,1,500.0,g,7487-88-9,health, reactive,
X,magnesium sulfate anhydrous powder,jt baker ,534,cg-1,1,500.0,g,7487-88-9,health, reactive,
,Magnesium Sulfate Heptahydrate,Glass bottle,412D,7,1,150.0,g,10034-99-8,,
X,magnesium sulfate heptahydrate ,emd ,534,cg-1,1,500.0,g,10034-99-8,nonhazardous,
X,malachite green oxalate ,acros ,534,C-2,1,25.0,g,2437-29-8,corrosive, aquatic toxin, health,
,Maleic Acid,Scholar Chemistry,412D,Carboxylic Acids,1,100.0,g,110-16-7,Acute oral and dermal toxicity, skin corrosion, serious eye damage, skin sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard,
,Maleic Acid,Glass bottle,412D,Carboxylic Acids,1,20.0,g,110-16-7,Acute oral toxicity, skin corrosion, serious eye damage, respiratory sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard,
,Maleic Anhydride Pellets,Acros Organic,412D,Carboxylic Acids,1,10.0,g,108-31-6,Acute oral and dermal toxicity, skin corrosion, serious eye damage, skin sensitization, specific target organ toxicity (repeated exposure: inhalation, respiratory system), acute aquatic hazard,
,Maltose,Glass bottle,412D,2,2,10.0,g,6363-53-7,Skin, eye, respiratory system irritant. Mucous membrane and upper respiratory tract irritant.,
,Maltose Monohydrate,Fisher Chemical,412D,2,1,20.0,g,6363-53-7,Skin, eye, respiratory system irritant. Mucous membrane and upper respiratory tract irritant.,
X,maltose monohydrate ,Carolina ,534,cd-1,1,100.0,g,6363-53-7,flammable,
,Manganese (IV) Oxide,Glass bottle,412D,6,8,100.0,g,1313-13-9,Oxidizer, organ damage through prolonged or repeated exposure, harmful if swallowed/inhaled,
,Manganese Dioxide,Flinn Scientific Inc,412D,9,1,500.0,g,1313-13-9,Acute toxicity (oral, dermal, inhalation),
,Methanol,Fisher Scientific,412,412C,1,4.0,L,67-56-1,Flammable,
,Methanol,Glass jar,412,412C,2,1.0,g,67-56-1,Flammable,
X,methanol ,fisher ,534,BA2,2,8.0,L,67-56-1,Flammable, Toxic,
X,methanol ,american bio,534,BA2,1,4.0,L,67-56-1,Flammable, Toxic,
X,methanol ,fisher,534,DA2,2,6.0,L,67-56-1,Flammable, Toxic,
,Methanol (0.05 M),Glass jar,412,412C,1,1.0,g,67-56-1,Flammable,
X,methanol absolute,scholar ,534,DA2,1,2.0,L,67-56-1,Flammable, Health,
,Methyl benzoate,Glass jar,412,412C,1,1.0,g,93-58-3,Flammable,
,Methyl benzoate,Glass jar,412,412C,3,1.0,g,93-58-3,Flammable,
,Methyl Ethyl Ketone,Ward's Science,412,412C,1,500.0,ml,78-93-3,Flammable,
X,methyl green ,fisher ,534,C-2,1,10.0,g,7114 03 6,corrosive, health,
,methyl red,glass bottles ,534,C-2,2,1.0,g,493-52-7,flammable, irritant, health,
,methyl red,dropper bottle ,534,lab benches,1,1.0,g,dropper bottle,flammable, reactive,
X,methyl red 0.02% alcoholic solution,fisher ,534,C1,1,300.0,ml,,flammable,
,Methyl Salicylate,Sigma Aldrich,412D,15,1,250.0,mL,119-36-8,Acute oral toxicity, serious eye damage/irritation, skin sensitization, reproductive toxicity,
,Methyl Violet,Sargent Welch,412D,17,1,5.0,g,8004-87-3,Harmful if swallowed, suspected of causing cancer, very toxic to aquatic life with long lasting effects,
,Methyl Violet,Fisher Science,412D,17,1,7.0,g,8004-87-3,Harmful if swallowed, suspected of causing cancer, very toxic to aquatic life with long lasting effects,
,Methyl-tert-butyl-ether,Oakwood Chemical,412,412C,1,2.5,kg,1634-04-4,Flammable,
,Methylene Blue,Fisher Scientific,412D,17,1,3.0,g,61-73-4,Harmful if swallowed,
X,methylene blue ,american bio analytical ,534,C-2,1,25.0,g,,nonhazardous,
,methylene blue ,droppers ,534,C-2,2,1.0,g,droppers,nonhazardous,
X,methylene blue ,Carolina ,534,C-2,1,1.0,g,n/a ,health, aquatic toxin,
X,methylene blue ,edvotek ,534,fridge 1,3,150.0,ml,61-­73-­4,nonhazardous,
,Mineral Oil,JT Baker,412D,15,1,200.0,mL,8042-47-5,,
,Mineral Oil,Glass bottle,412D,15,8,350.0,mL,8042-47-5,,
,mineral oil ,CVS,534,C-2,2,32.0,oz,8042-47-5,Non classified,
X,mineral oil ,american bio analytical ,534,C-2,1,200.0,g,8042-47-5,Non classified,
,mouthwash,freshmoment,534,C-2,1,4.0,fl oz,,,,
,mouthwash ,Listerine ,534,C-2,1,10.0,g,,,
,n-butyl-alcohol,Flinn Scientific,412,412C,1,500.0,g,71-36-3,Flammable,
,n-butyl-bromide,,412,412C,3,1.0,g,109-65-9,Flammable,
,n-Butylamine,Fisher Chemical,412,412C,1,500.0,ml,109-73-9,Flammable,
,N-Propyl Alcohol,ScholAR Chemistry,412,412C,1,500.0,ml,71-23-8,Flammable,
,Naphthalene,Glass bottle,412D,Organics,4,20.0,g,90-20-3,Flammable solids, acute oral toxicity, carcinogenicity, short- and long-term aquatic hazard,
,Napthalene,ScholAR Chemistry,412,412C,1,500.0,g,91-20-3,Flammable,
,Nicaelous Chloride Hexahydrate,JT Baker,412D,8,1,125.0,g,,,
,Nickel Nitrate ,Scholar Chemistry,412D,10,1,150.0,g,13478-00-7,Oxidizer, acute toxicity (oral and inhalation), skin corrosion or irritation, serious eye damage, reproductive toxicity, specific target organ toxicity,
X,nigrosin,harle co,534,DA1 flammable,1,400.0,ml,8005 03 6,nonhazardous,
X,ninhydrin ,fisher ,534,C-2,1,10.0,g,485-47-2,flammable, health, reactive,
X,nitrate A ,becton dickinson ,534,C-2,50,0.5,g,64-19-7; 121-57-3,corrosive, health,
